customer_id,tenure,monthly_charges,total_charges,churn,contract_type_Month-to-month,contract_type_One year,contract_type_Two year
1,52,105.56964681062857,3271.805095304177,0,False,True,False
2,15,103.02198645669915,6420.56065272336,0,True,False,False
3,61,59.71835296184548,1711.8815135683008,0,False,True,False
4,21,86.80851365706462,4485.171099488061,0,False,False,True
5,24,40.4984295415821,5891.263238634431,0,False,True,False
6,3,49.31477302610133,4966.285057055415,0,True,False,False
7,22,109.63358185211197,1585.3954034617875,0,True,False,False
8,53,21.300192351073605,2907.5380926173416,0,False,False,True
9,2,28.550853085446807,6291.9550974346375,1,True,False,False
10,30,40.78862551460273,4478.389461642932,0,False,False,True
11,38,22.65322038738197,141.31394698901062,0,True,False,False
12,2,38.14354350897973,6111.827004221941,0,True,False,False
13,64,78.30415609696922,378.9597040278887,1,False,False,True
14,60,62.1424550592498,5991.296883576734,0,False,True,False
15,21,109.26717110769748,1699.5964253053755,0,True,False,False
16,33,101.7443561738441,7668.780492943104,1,False,True,False
17,58,54.1817351697876,3006.7319352864674,1,True,False,False
18,22,45.94234334312925,2682.759769070825,0,True,False,False
19,49,57.96924081672669,1276.215597626313,0,True,False,False
20,59,79.02949425148077,2514.2733023726973,1,True,False,False
21,42,46.80636408228763,7025.541018442785,1,False,True,False
22,60,82.41489078491341,7971.041267255254,1,False,True,False
23,15,60.941165219124045,3009.6452910041016,0,True,False,False
24,62,75.20471808519802,3644.0239845408864,0,True,False,False
25,62,63.61265291353167,5804.360411801623,0,False,True,False
26,47,49.44657595419177,7100.946665674089,1,False,False,True
27,62,114.84533069621567,4785.050240075595,0,False,False,True
28,51,96.36057941597608,3193.0530156048517,0,False,True,False
29,55,34.011317576645254,3359.7125427041274,1,True,False,False
30,64,106.84679758979128,5595.383357324774,0,True,False,False
31,3,68.74311982495136,125.42428247380158,1,False,False,True
32,51,109.45522268940914,4994.755765932741,0,False,False,True
33,7,99.98552559473153,2908.394782486723,0,False,True,False
34,21,62.52135044692334,6374.158917088966,0,False,False,True
35,39,22.24693083201174,834.626054602744,1,False,True,False
36,18,46.867735938494604,4746.797908892285,0,False,False,True
